tyre_id,brand,tyre_size,width_mm,aspect_ratio,rim_inch,country,region,risk_class,td_current_mm,wear_rate_mm_10000km,remaining_life_km,cost_per_1000km,latitude,longitude,kmeans_cluster,gmm_cluster,dbscan_cluster,pca_1,pca_2
TYR00011,Hankook,195/65 R15,195,65,15,Germany,Western Europe,low,5.72,0.6098331648129426,67559.46113989633,2.2571891007696236,52.44842,13.45647,0,0,-1,-2.701917279356538,0.5527115544662327
TYR00012,Pirelli,205/55 R16,205,55,16,Germany,Western Europe,low,5.01,0.8889876652961441,38358.23749999999,4.265610694169691,52.48127,13.37879,1,1,-1,-0.20679251243088606,1.719822058571671
TYR00013,Pirelli,195/65 R15,195,65,15,Germany,Western Europe,low,6.09,0.9479288404103361,47366.424657534255,3.4847737326282373,52.47274,13.43025,1,1,-1,-1.7332960410392024,1.7694195353042508
TYR00014,Goodyear,225/45 R17,225,45,17,Norway,Northern Europe,low,7.07,0.7952831482243248,68780.53448275862,3.661781095904066,60.06085,10.98461,2,2,-1,0.20349194634757214,-0.682340140234487
TYR00015,BudgetRoad,195/65 R15,195,65,15,Poland,Eastern Europe,low,5.78,0.7439173814108174,56189.035294117646,2.0580449053417973,52.31072,21.02463,0,0,-1,-2.63752111985909,0.8142664636558985
TYR00016,Pirelli,195/65 R15,195,65,15,Portugal,Southern Europe,low,6.46,0.6945008528957842,69978.31578947368,2.855170173016002,38.58273,-9.0651,0,0,-1,-2.5870311584623535,0.7195485936498801
TYR00017,Pirelli,235/45 R18,235,45,18,Norway,Northern Europe,low,5.76,1.0533865256174637,39491.676595744684,4.818393849437301,59.94014,10.89039,4,4,-1,1.920207403827868,0.6967530474759566
TYR00018,Michelin,235/45 R18,235,45,18,Spain,Southern Europe,low,7.05,0.7833974711379879,69568.77192982455,3.6153355640799636,40.36101,-3.62463,2,2,-1,0.753403765120524,-1.0492169624153966
TYR00019,Pirelli,195/65 R15,195,65,15,Norway,Northern Europe,high,2.1,1.1860860931848805,4215.545590433483,4.081521852236483,59.81658,10.69851,1,1,-1,-0.1204593997375184,4.484924155091294
TYR00020,BudgetRoad,235/45 R18,235,45,18,Sweden,Northern Europe,low,4.89,1.1773060248168632,27945.155555555557,3.6984593459735975,59.3944,18.15408,4,4,-1,1.9513608979495085,1.0087716851607025
TYR00021,BudgetRoad,205/55 R16,205,55,16,Sweden,Northern Europe,low,5.69,1.2943092146465696,31599.867741935497,3.05665792276756,59.43562,18.13714,1,1,-1,-0.1965542278084609,2.1886261896412615
TYR00022,Goodyear,195/65 R15,195,65,15,Norway,Northern Europe,critical,1.55,1.0920647149460707,0.0,4.984591679506934,59.80088,10.56739,1,1,-1,0.0875432038641695,4.753323943804095
TYR00023,Michelin,255/40 R19,255,40,19,France,Western Europe,low,4.99,0.6158541570155598,55045.50000000001,3.99912799411396,45.83036,4.67626,2,2,-1,2.2944632600721446,-0.963386812198728
TYR00024,Bridgestone,235/45 R18,235,45,18,Italy,Southern Europe,low,6.38,0.8976019291742958,53253.00497512435,3.6262324770515626,45.34576,9.11895,2,2,-1,1.0550422039960274,-0.5944191318461168
TYR00025,Goodyear,225/45 R17,225,45,17,Germany,Western Europe,low,7.87,0.5617597292724191,111613.55421686757,2.151065036581586,52.54629,13.43395,3,3,-1,-1.1993711049385727,-2.6567577175781394
TYR00026,Michelin,255/40 R19,255,40,19,Poland,Eastern Europe,low,4.98,0.7219370414645009,46818.48701298701,3.901924427667654,52.22763,21.03731,2,2,-1,2.3069323843475225,-0.8828372042739479
TYR00027,Hankook,205/55 R16,205,55,16,France,Western Europe,low,6.2,0.6188895865100008,74326.66666666667,2.3534363206082642,45.67264,4.83621,0,0,-1,-1.8663020861507524,-0.4703646908694505
TYR00028,Hankook,205/55 R16,205,55,16,Portugal,Southern Europe,low,6.69,0.7443971179491262,68377.48128342246,2.492019087387161,38.75862,-9.16399,0,0,-1,-1.4849529958255827,-0.018423882406991533
TYR00029,Hankook,255/40 R19,255,40,19,Portugal,Southern Europe,low,6.04,0.46162967982381853,96180.99082568804,1.7212790055545522,38.69851,-9.13134,3,3,-1,0.4204026182822243,-3.364862869907145
TYR00030,Pirelli,195/65 R15,195,65,15,France,Western Europe,low,6.16,0.5110032611765916,89236.22110552763,2.1319368119347657,45.88918,4.80676,0,0,-1,-3.209721170077588,-0.32019400081055166
TYR00031,Hankook,235/45 R18,235,45,18,Italy,Southern Europe,low,7.09,0.48476807674644046,113250.03157894746,1.7963517676206608,45.38352,9.24655,3,3,-1,-0.8026163852908583,-3.1740327766668095
TYR00032,Hankook,225/45 R17,225,45,17,Norway,Northern Europe,low,5.26,1.1880227906412897,30807.48979591837,4.157899763791386,59.85266,10.82421,4,4,-1,1.4630595876865053,1.4990299303221137
TYR00033,Yokohama,255/40 R19,255,40,19,Poland,Eastern Europe,low,6.93,0.6435342203669887,82823.87837837834,2.597567040067807,52.13719,20.9887,3,3,-1,1.070672006471458,-2.75321557168099
TYR00034,Hankook,225/45 R17,225,45,17,Sweden,Northern Europe,low,5.58,1.1372671022157692,34996.17629179333,3.386302745758564,59.39431,18.08793,4,4,-1,0.978128789904967,0.9490519751699495
TYR00035,Pirelli,225/45 R17,225,45,17,Poland,Eastern Europe,low,6.9,0.9147161689534568,57941.47058823532,3.464944847995694,52.12709,21.06931,2,2,-1,0.2525781127889579,-0.44727425538268406
TYR00036,Yokohama,225/45 R17,225,45,17,Germany,Western Europe,low,4.87,0.8098543623247584,40377.63025210084,3.5279549415750933,52.36505,13.38016,4,2,-1,0.8515124306469606,0.6507374285668812
TYR00037,Bridgestone,235/45 R18,235,45,18,Czechia,Eastern Europe,low,8.17,0.6540632559806472,100448.99999999997,2.4655496819281435,50.06157,14.57123,3,3,-1,-0.4250612505889424,-2.781894547739159
TYR00038,BudgetRoad,205/55 R16,205,55,16,Norway,Northern Europe,low,4.5,0.9748300238641993,29748.775981524246,2.183996780989253,59.70872,10.81499,1,1,-1,-0.7022491925115232,1.5520180110892827
TYR00039,Bridgestone,205/55 R16,205,55,16,France,Western Europe,medium,3.91,0.6701328711727327,34470.77586206896,2.3472970670257554,45.88387,4.79899,1,1,-1,-1.0315830778545605,0.9613973478495544
TYR00040,Pirelli,235/45 R18,235,45,18,Czechia,Eastern Europe,low,6.27,0.807416267942584,57838.814814814796,4.080671088397527,49.99742,14.36495,2,2,-1,1.3109239180606045,-0.28267452342157906
TYR00041,Pirelli,195/65 R15,195,65,15,Portugal,Southern Europe,low,7.09,0.6543884503811649,83895.12371134014,2.5795668558755978,38.60257,-9.21313,0,0,-1,-2.9962979802037086,-0.05446969012569144
TYR00042,BudgetRoad,205/55 R16,205,55,16,Poland,Eastern Europe,low,4.27,0.9428347689898201,28318.853820597997,2.687909051804957,52.32472,20.93055,1,1,-1,-0.45681374023329496,1.6941764249881397
TYR00043,Continental,225/45 R17,225,45,17,Norway,Northern Europe,low,5.33,1.0743145406137604,34719.813043478265,5.100945209338736,59.9493,10.85217,4,4,-1,1.7223917950504073,1.678897904623729
TYR00044,Continental,235/45 R18,235,45,18,France,Western Europe,low,5.71,1.0109269307961049,40655.75735294117,4.590318726907702,45.79576,4.84053,4,4,-1,1.8880759311329094,0.7568904463970779
TYR00045,Yokohama,235/45 R18,235,45,18,Portugal,Southern Europe,low,6.37,0.8969127723458308,53182.429184549364,3.06415721211556,38.71249,-9.05964,2,2,-1,0.9606682676421271,-0.5215619131274127
TYR00046,Pirelli,225/45 R17,225,45,17,Norway,Northern Europe,low,5.03,1.1167679421908356,30713.632352941186,4.941575512282787,59.87358,10.70195,4,4,-1,1.79925998332114,1.7380882805088658
TYR00047,Michelin,235/45 R18,235,45,18,Poland,Eastern Europe,low,7.41,0.6185362957098323,93931.43200000002,2.8111861360398565,52.01587,21.04387,3,3,-1,-0.1696012266204363,-2.254556859330344
TYR00048,Hankook,205/55 R16,205,55,16,Sweden,Northern Europe,low,6.19,1.0355839416058397,44322.8193832599,3.344362484305506,59.3974,18.01202,1,1,-1,-0.5941247217057408,1.3311461352371146
TYR00049,Michelin,225/45 R17,225,45,17,Poland,Eastern Europe,low,5.31,0.7350450511482964,50473.09677419353,3.8344850168236126,52.29618,20.90483,2,2,-1,0.5267415494790298,0.06549528362942912
TYR00050,BudgetRoad,195/65 R15,195,65,15,Italy,Southern Europe,low,6.14,0.5259224402801228,86324.51578947368,1.327790831756913,45.37044,9.10253,0,0,-1,-3.5557805480978155,-0.5051120275727403
TYR00051,Bridgestone,195/65 R15,195,65,15,Italy,Southern Europe,low,6.26,0.7322929171668671,63635.73770491801,3.029799674972031,45.4724,9.1782,0,0,-1,-2.4868623825218696,0.8289381194353131
TYR00052,Continental,255/40 R19,255,40,19,Germany,Western Europe,low,5.06,0.9166417240347203,37746.48163265305,5.311248595236035,52.36954,13.37957,4,4,-1,3.324934720082419,0.44100902096934075
TYR00053,Continental,235/45 R18,235,45,18,Norway,Northern Europe,low,5.72,0.9349730458221027,44065.44144144142,4.974233570280683,59.90687,10.82742,4,2,-1,1.9474919194139617,0.6302928979305309
TYR00054,BudgetRoad,235/45 R18,235,45,18,Poland,Eastern Europe,low,6.06,0.4920629570961545,90638.80821917806,1.5760976000772438,52.33934,20.97348,3,3,-1,-0.4433267025296824,-2.3647670544420056
TYR00055,Yokohama,225/45 R17,225,45,17,Czechia,Eastern Europe,low,5.77,0.9463304877241748,44064.94405594404,4.079529340026661,50.12485,14.35782,4,2,-1,1.111160498855103,0.8477766756144488
TYR00056,Michelin,255/40 R19,255,40,19,Germany,Western Europe,low,4.45,0.9485895561844928,30044.606557377054,5.3474726506264805,52.63834,13.54855,4,4,-1,3.3505123679450617,0.4220327243334188
TYR00057,Continental,225/45 R17,225,45,17,Portugal,Southern Europe,low,6.99,0.4759482633338179,113247.6030534351,2.337119084131732,38.75261,-9.23809,3,3,-1,-1.0351552285960666,-2.3321976513431446
TYR00058,Hankook,225/45 R17,225,45,17,Poland,Eastern Europe,low,4.71,1.0302275557568212,30187.505494505487,3.9681401779441665,52.23258,21.01183,4,4,-1,1.3085136141891243,1.3559010421403754
TYR00059,Goodyear,205/55 R16,205,55,16,Poland,Eastern Europe,low,6.7,0.78125,65279.99999999999,3.482445406626506,52.16096,20.96919,0,0,-1,-1.101155709235105,0.38048933608593966
TYR00060,Goodyear,225/45 R17,225,45,17,Poland,Eastern Europe,low,5.92,0.7560742861337446,57137.242718446585,3.2930708876307984,52.32028,20.96065,2,2,-1,0.156362861985515,-0.38374576170605745
TYR00061,BudgetRoad,225/45 R17,225,45,17,Norway,Northern Europe,low,5.56,0.9820246787071435,40324.85217391302,2.6568003128728725,59.9018,10.78681,2,4,-1,0.4006507077429525,0.20716173172283506
TYR00062,Bridgestone,195/65 R15,195,65,15,Italy,Southern Europe,low,5.56,0.7368481178956992,53742.41860465114,2.889819170627949,45.56356,9.28041,0,0,-1,-2.2933085305058554,1.1226612182720213
TYR00063,BudgetRoad,225/45 R17,225,45,17,Norway,Northern Europe,low,6.21,1.394242598212089,33064.547058823526,4.233989963064984,59.885,10.78036,4,4,-1,1.6748730360332347,1.603106679594981
TYR00064,Goodyear,205/55 R16,205,55,16,Spain,Southern Europe,low,7.32,0.5430171389784487,105337.37500000006,1.9949673947298237,40.51988,-3.69886,0,0,-1,-2.521882002798887,-1.5626770543584823
TYR00065,Bridgestone,225/45 R17,225,45,17,France,Western Europe,low,7.7,0.9898477157360409,61625.641025641,4.101681472081219,45.71908,4.89153,2,2,-1,0.724410999121129,0.05548602658340348
TYR00066,Pirelli,205/55 R16,205,55,16,Poland,Eastern Europe,low,6.87,0.6058814836707553,86980.70731707313,2.615040196762858,52.07705,21.00285,0,0,-1,-1.938313100792828,-0.8347848745511531
TYR00067,BudgetRoad,225/45 R17,225,45,17,Spain,Southern Europe,low,4.82,0.9495626158498911,33910.349315068495,2.8859589534812407,40.40552,-3.58126,4,4,-1,0.7841931800321783,0.7084566715723074
TYR00068,Michelin,195/65 R15,195,65,15,Germany,Western Europe,low,6.82,0.5606060606060601,93113.51351351361,2.5475594874923706,52.44964,13.58753,0,0,-1,-3.099419249746643,-0.1160048446442526
TYR00069,Bridgestone,205/55 R16,205,55,16,Norway,Northern Europe,low,7.13,0.5734919286321165,96426.81481481464,2.713210089942289,59.95582,10.8105,0,0,-1,-2.0109888630308954,-0.9431584596767777
TYR00070,Hankook,235/45 R18,235,45,18,Italy,Southern Europe,low,7.81,0.7670747897920047,80956.90384615384,2.8302414657842934,45.3841,9.32469,3,2,-1,0.1734529551020816,-1.7221370327799597
TYR00071,Michelin,255/40 R19,255,40,19,Sweden,Northern Europe,low,5.42,1.0749515217941152,35536.4862745098,6.242650179863376,59.29072,18.14855,4,4,-1,3.793430716514504,0.8676410469511335
TYR00072,Pirelli,225/45 R17,225,45,17,Portugal,Southern Europe,low,6.93,0.7756599122121345,68715.68217054258,3.2193401431934445,38.85191,-9.1102,2,2,-1,-0.026993483053275896,-0.7779717996718133
TYR00073,Bridgestone,255/40 R19,255,40,19,Italy,Southern Europe,low,6.08,0.6314365180786288,70949.33333333336,2.8895396117075425,45.53184,9.06395,2,3,-1,1.4781767469144391,-2.0259690607424647
TYR00074,Bridgestone,235/45 R18,235,45,18,Germany,Western Europe,low,5.82,0.6799755906198238,62061.0512820513,2.900780015776794,52.55232,13.45024,2,2,-1,0.6218526801435614,-0.9079550228275773
TYR00075,Continental,225/45 R17,225,45,17,Italy,Southern Europe,low,7.05,0.4552264607583266,119720.63291139239,2.1584591818039445,45.37822,9.26012,3,3,-1,-1.2429093131820041,-2.6513704190722547
TYR00076,Goodyear,235/45 R18,235,45,18,Norway,Northern Europe,critical,1.1,0.8805290909794113,0.0,4.09607178310364,59.90517,10.73197,4,4,-1,2.6907626420740134,2.424624494493104
TYR00077,Yokohama,205/55 R16,205,55,16,France,Western Europe,low,6.22,0.9082822229505129,50865.24742268039,2.9163336070132093,45.87029,4.93535,1,1,-1,-1.0166719641796849,0.5998344076711923
TYR00078,Goodyear,255/40 R19,255,40,19,Portugal,Southern Europe,low,6.67,0.5719434324440792,88645.13013698625,2.6460923487853103,38.72983,-9.0394,3,3,-1,1.1196515341684508,-2.668607925243831
TYR00079,Continental,235/45 R18,235,45,18,Italy,Southern Europe,low,5.91,0.8385744234800837,51396.750000000015,4.568891707626445,45.42487,9.14355,2,2,-1,1.5421164822627496,-0.006542811824114901
TYR00080,Michelin,255/40 R19,255,40,19,Norway,Northern Europe,low,6.78,0.9048690573083735,57245.851851851854,4.452544502786564,59.89715,10.78344,2,2,-1,2.3716380850962895,-0.9678210535564713
TYR00081,Bridgestone,195/65 R15,195,65,15,Italy,Southern Europe,low,6.71,0.5936750770635915,86074.01923076926,1.9177604088844198,45.55387,9.13683,0,0,-1,-3.2570400538619206,-0.2686678996599841
TYR00082,Goodyear,205/55 R16,205,55,16,Italy,Southern Europe,low,4.62,0.6041672806578057,49986.15609756096,2.401480085659629,45.47146,9.33283,0,0,-1,-1.3270666294228959,0.5083015559964248
TYR00083,Michelin,235/45 R18,235,45,18,Germany,Western Europe,low,5.03,0.8450286617908674,40590.33918128657,3.951650090970344,52.50698,13.57268,4,2,-1,1.605890317024102,0.23561543739935228
TYR00084,BudgetRoad,225/45 R17,225,45,17,Germany,Western Europe,low,5.99,0.8824283255830985,49749.08298755187,2.3747703467898087,52.43426,13.37671,2,2,-1,0.2357876795606054,-0.14384556837463602
TYR00085,Bridgestone,195/65 R15,195,65,15,Sweden,Northern Europe,low,6.0,0.9373867108602204,46939.005524861896,3.9474395935113726,59.37315,18.14025,1,1,-1,-1.6855834813670283,1.8519574735384206
TYR00086,Goodyear,195/65 R15,195,65,15,Germany,Western Europe,low,7.82,0.4898847863558015,126968.62962962964,1.7978771659257915,52.56938,13.44943,0,0,-1,-4.163129103604485,-1.7430775220218906
TYR00087,Goodyear,205/55 R16,205,55,16,Sweden,Northern Europe,low,5.21,1.0075842619719084,35828.26902173912,3.8944721192842877,59.26504,18.1127,1,1,-1,-0.1900352992433046,1.774424297281306
TYR00088,Continental,235/45 R18,235,45,18,Netherlands,Western Europe,low,6.58,0.7890365448504986,63114.947368421046,3.9942812883418406,52.31681,4.81102,2,2,-1,0.894060609158467,-0.7889166796840996
TYR00089,BudgetRoad,225/45 R17,225,45,17,Spain,Southern Europe,low,7.12,0.4934048222097954,111875.68000000007,1.3402055769083165,40.36055,-3.71335,3,3,-1,-1.5331312890573645,-2.8808051698120827
TYR00090,Pirelli,195/65 R15,195,65,15,Netherlands,Western Europe,low,7.54,0.6270903010033437,94723.2000000001,2.7852557853532676,52.45822,5.00526,0,0,-1,-3.1064295294268316,-0.2343549079394767
TYR00091,Continental,205/55 R16,205,55,16,Spain,Southern Europe,low,6.3,0.5825242718446604,80683.3333333333,3.0532937494985166,40.35598,-3.65761,0,0,-1,-1.6647724619164905,-0.45830897120630937
TYR00092,BudgetRoad,255/40 R19,255,40,19,Spain,Southern Europe,low,6.83,0.7574510126790712,69047.3695652174,2.6134056732716213,40.49471,-3.70314,2,2,-1,1.4522356215143852,-1.9453552058003667
TYR00093,Hankook,195/65 R15,195,65,15,Netherlands,Western Europe,low,6.91,1.0288986311174737,51608.582608695644,3.449199497752323,52.24223,4.93518,1,1,-1,-1.7697035166862047,1.769837368319214
TYR00094,Hankook,205/55 R16,205,55,16,Portugal,Southern Europe,low,6.35,1.0302980941521425,46103.162055335946,3.0979705056305495,38.7583,-9.15749,1,1,-1,-0.7648654339951546,1.0207562422226146
TYR00095,Michelin,225/45 R17,225,45,17,Italy,Southern Europe,low,7.38,0.7017543859649125,82364.99999999997,3.2706461275139076,45.3384,9.07944,3,3,-1,-0.25276775305774146,-1.3007924117706051
TYR00096,Hankook,195/65 R15,195,65,15,France,Western Europe,low,7.91,0.969237252423093,65102.7391304348,2.7440272918185737,45.75088,4.78922,0,1,-1,-2.4578899719990934,0.9072283873187029
TYR00097,Continental,235/45 R18,235,45,18,Netherlands,Western Europe,low,6.63,0.449602676704308,111876.55813953484,2.4694560601122357,52.32526,4.90996,3,3,-1,-0.503661233613431,-2.750307087700492
TYR00098,Yokohama,195/65 R15,195,65,15,Sweden,Northern Europe,low,5.72,1.1496571198063736,35836.77192982455,4.125113453005245,59.26733,18.02244,1,1,-1,-1.0631339973332417,2.9044946334826363
TYR00099,Hankook,235/45 R18,235,45,18,Czechia,Eastern Europe,low,6.04,0.897470764209954,49472.36363636362,3.3536522464902996,49.99093,14.35365,2,2,-1,1.06729565929657,-0.31843092463304434
TYR00100,Pirelli,235/45 R18,235,45,18,Poland,Eastern Europe,low,5.54,1.1981881057912425,32882.9837398374,5.256488663484486,52.23734,20.81729,4,4,-1,2.3415915480256224,1.3316173146495371
TYR00101,Hankook,205/55 R16,205,55,16,Germany,Western Europe,low,4.23,1.0488924633892966,25074.06709265176,4.26913800550324,52.48456,13.40182,1,1,-1,0.3801067571075499,2.7499967966741288
TYR00102,Michelin,255/40 R19,255,40,19,Italy,Southern Europe,low,5.82,0.8252712267795876,51134.7041198502,4.051734366948201,45.53881,9.22872,2,2,-1,2.3186270849358914,-0.9952887160331658
TYR00103,Bridgestone,255/40 R19,255,40,19,Portugal,Southern Europe,low,6.52,0.8814645873143072,55816.195804195784,3.792657551905748,38.72934,-9.12173,2,2,-1,2.229860541384399,-0.9957055208558128
TYR00104,Bridgestone,255/40 R19,255,40,19,Spain,Southern Europe,low,6.16,0.4659590991457416,97862.6666666667,2.1959421507382566,40.47057,-3.66579,3,3,-1,0.6960456870213926,-3.037286507037929
TYR00105,Michelin,205/55 R16,205,55,16,Netherlands,Western Europe,low,5.11,0.6305098285355625,55669.23529411765,3.166327766553152,52.32266,4.8548,0,0,-1,-1.1502885542781032,0.44705166985839206
TYR00106,Pirelli,235/45 R18,235,45,18,Poland,Eastern Europe,high,2.16,1.0579386726175717,5293.3125,5.65959938488689,52.27313,21.09416,4,4,-1,3.3332230899654194,2.923310972707067
TYR00107,Michelin,205/55 R16,205,55,16,Spain,Southern Europe,low,6.96,0.502045370026032,106763.25925925924,2.5453700260319825,40.42859,-3.74139,0,0,-1,-2.278830803556137,-1.4309176357427724
TYR00108,Pirelli,255/40 R19,255,40,19,Germany,Western Europe,low,4.04,0.8792457116891969,27751.059431524547,3.979736413875619,52.42461,13.35835,4,4,-1,2.932263365572059,0.2865576463209075
TYR00109,Michelin,195/65 R15,195,65,15,Sweden,Northern Europe,low,5.64,1.1784820174635162,34281.388601036255,5.198546721926584,59.15487,18.03823,1,1,-1,-0.5559188877004928,3.400161405571591
TYR00110,Yokohama,255/40 R19,255,40,19,Italy,Southern Europe,low,6.13,0.6176093997137906,73347.3292682927,2.448415869854023,45.41296,9.16833,3,3,-1,1.1949659839734397,-2.4218163788743676
TYR00111,Hankook,255/40 R19,255,40,19,Spain,Southern Europe,low,6.66,0.6888246628131021,73458.46153846155,2.449944482544659,40.45589,-3.69015,3,2,-1,1.201415961164814,-2.3136310632863943
TYR00112,BudgetRoad,225/45 R17,225,45,17,Czechia,Eastern Europe,low,5.25,0.9392809399845211,38859.513108614236,2.845337594304376,50.06818,14.39533,2,4,-1,0.6182768634469725,0.4760666565227516
TYR00113,Pirelli,225/45 R17,225,45,17,Netherlands,Western Europe,low,6.49,0.6260045681414433,78114.44594594593,2.992646527396603,52.38034,4.90185,3,3,-1,-0.3506635089176539,-1.2338811602992632
TYR00114,Pirelli,195/65 R15,195,65,15,Italy,Southern Europe,low,6.72,0.7051212154254355,72611.62886597935,2.7117204135999997,45.43245,9.1991,0,0,-1,-2.6002467062186967,0.5344051879109772
TYR00115,BudgetRoad,255/40 R19,255,40,19,Norway,Northern Europe,low,4.75,0.9324660805935261,33781.389645776566,2.8459356990548748,59.81592,10.84492,2,4,-1,2.361437150206857,-0.40217705398498077
TYR00116,Michelin,225/45 R17,225,45,17,Germany,Western Europe,low,6.7,1.156771603634059,44088.21917808218,5.0620261903333486,52.50432,13.37763,4,4,-1,1.4147267539484765,1.102227143215423
TYR00117,Yokohama,235/45 R18,235,45,18,Spain,Southern Europe,low,6.39,0.5472656403795427,87526.05035971219,2.2023457081293247,40.37936,-3.75415,3,3,-1,-0.2475959691789541,-2.230820474129086
TYR00118,Michelin,235/45 R18,235,45,18,Italy,Southern Europe,low,6.05,0.6173980553809753,72076.67664670658,3.1468133237743077,45.42324,9.30207,2,3,-1,0.48542660506887975,-1.1780630824296843
TYR00119,Goodyear,225/45 R17,225,45,17,Poland,Eastern Europe,low,4.49,0.8629713789669874,33488.94378698225,3.941590805559265,52.23511,21.00996,4,2,-1,1.1281883998299043,1.0707110555341672
TYR00120,Continental,255/40 R19,255,40,19,Netherlands,Western Europe,low,6.51,0.7455525208533252,65857.198019802,3.7938187727809036,52.34103,5.12042,2,2,-1,1.9802270280809153,-1.407351542547022
TYR00121,Yokohama,205/55 R16,205,55,16,Germany,Western Europe,low,5.39,1.04694988599879,36200.39555555556,3.799180066443954,52.46049,13.36328,1,1,-1,-0.27089382207019225,1.7117166428824957
TYR00122,Hankook,195/65 R15,195,65,15,Sweden,Northern Europe,low,6.0,1.0244735344336937,42948.8888888889,3.567481227165072,59.29943,18.23829,1,1,-1,-1.55355353526138,2.280384448068024
TYR00123,Continental,255/40 R19,255,40,19,Germany,Western Europe,low,5.6899999999999995,0.8798618534659981,46484.57009345793,4.622169942252838,52.52113,13.38779,4,2,-1,2.743517731620322,-0.4460365901381726
TYR00124,Goodyear,235/45 R18,235,45,18,Czechia,Eastern Europe,low,4.55,0.9983598374099695,29548.46428571428,4.598040481945496,50.07661,14.4387,4,4,-1,2.1730208428332323,1.2791695577145061
TYR00125,Pirelli,225/45 R17,225,45,17,Poland,Eastern Europe,low,6.32,0.8761183502245978,53874.00000000002,3.564613728329063,52.35633,20.93832,2,2,-1,0.4922339904853105,-0.15822828489350355
TYR00126,Goodyear,225/45 R17,225,45,17,France,Western Europe,low,4.31,0.8787228333780522,30840.213740458006,3.9868078431245775,45.75724,4.88971,4,4,-1,1.203525297751402,1.1710561524652108
TYR00127,Goodyear,235/45 R18,235,45,18,Poland,Eastern Europe,low,6.34,0.6052119428490057,78319.67058823528,2.4814519851518213,52.19326,21.04551,3,3,-1,0.05109818476846513,-1.7297945240091608
TYR00128,Hankook,205/55 R16,205,55,16,Spain,Southern Europe,low,7.73,0.35158996796624686,174350.8222222225,1.2047566881056182,40.59899,-3.62612,0,0,-1,-3.714368355152223,-3.3930125706916203
TYR00129,BudgetRoad,235/45 R18,235,45,18,Italy,Southern Europe,low,5.02,0.8379439381069355,40814.18630136985,1.7865865520543063,45.42474,9.34483,2,2,-1,0.5523585173927149,-0.7176450627621842
TYR00130,Continental,225/45 R17,225,45,17,Sweden,Northern Europe,medium,3.97,0.9214447238835936,25720.479357798165,4.140203121176224,59.33024,17.87793,4,4,-1,1.4658153433495353,1.52429884636602
TYR00131,Michelin,255/40 R19,255,40,19,Norway,Northern Europe,low,6.31,0.7180319680319683,65595.96521739126,4.274250706631254,59.89869,10.58782,2,2,-1,1.9487785392043862,-1.5128582334890601
TYR00132,Continental,255/40 R19,255,40,19,Italy,Southern Europe,low,4.21,0.80182816822355,32550.614999999987,3.9668052842781094,45.58991,9.3156,4,2,-1,2.588876485610185,-0.22876937752055398
TYR00133,Hankook,195/65 R15,195,65,15,Portugal,Southern Europe,medium,3.79,0.8234303359221483,26596.05681818182,2.968819671738926,38.66638,-9.13589,1,1,-1,-1.6180963958516856,2.425200484379064
