tyre_id,brand,model,tyre_size,width_mm,aspect_ratio,rim_inch,season_type,tyre_segment,vehicle_type,vehicle_weight_kg,drive_type,wheel_position,country,region,city,latitude,longitude,climate_zone,road_type,measurement_date,season_of_year,mileage_km,td_initial_mm,td_current_mm,td_inner_mm,td_center_mm,td_outer_mm,wear_mm,wear_rate_mm_10000km,predicted_life_km,remaining_life_km,fuel_efficiency_class,wet_grip_class,noise_db,rolling_resistance,price_eur,cost_per_1000km,risk_class,cluster_id,risk_binary
TYR00013,Pirelli,PIR-Grip-231,195/65 R15,195,65,15,summer,premium,fleet,1518.0,fwd,front_left,Germany,Western Europe,Berlin,52.47274,13.43025,continental,mountain,2019-10-11,autumn,23103.0,8.28,6.09,5.98,6.29,5.79,2.1899999999999995,0.9479288404103361,70469.42465753425,47366.424657534255,E,B,71.6,3.37,245.57,3.4847737326282373,low,0,0
TYR00014,Goodyear,GOO-Tour-548,225/45 R17,225,45,17,all-season,premium,fleet,1619.0,rwd,front_right,Norway,Northern Europe,Oslo,60.06085,10.98461,cold,rural,2021-04-03,spring,14586.0,8.23,7.07,6.76,6.93,6.83,1.1600000000000001,0.7952831482243248,83366.53448275862,68780.53448275862,C,B,71.9,4.92,305.27,3.661781095904066,low,0,0
TYR00015,BudgetRoad,BUD-Eco-172,195/65 R15,195,65,15,summer,budget,family,1437.0,fwd,rear_left,Poland,Eastern Europe,Warsaw,52.31072,21.02463,continental,urban,2025-08-06,summer,22852.0,7.48,5.78,5.73,5.76,5.74,1.7000000000000002,0.7439173814108174,79041.03529411764,56189.035294117646,C,C,74.0,5.25,162.67,2.0580449053417973,low,0,0
TYR00016,Pirelli,PIR-Sport-690,195/65 R15,195,65,15,summer,premium,suv,1840.0,fwd,front_right,Portugal,Southern Europe,Lisbon,38.58273,-9.0651,mediterranean,mixed,2024-06-11,summer,24622.0,8.17,6.46,6.24,6.48,6.28,1.71,0.6945008528957842,94600.31578947368,69978.31578947368,A,A,73.9,7.62,270.1,2.855170173016002,low,0,0
TYR00017,Pirelli,PIR-Eco-789,235/45 R18,235,45,18,winter,premium,family,1311.0,fwd,front_left,Norway,Northern Europe,Oslo,59.94014,10.89039,cold,mountain,2022-12-22,winter,22309.0,8.11,5.76,5.4,5.75,5.74,2.3499999999999996,1.0533865256174637,61800.676595744684,39491.676595744684,B,B,71.2,6.33,297.78,4.818393849437301,low,0,0
TYR00018,Michelin,MIC-Grip-385,235/45 R18,235,45,18,all-season,premium,suv,1771.0,fwd,front_right,Spain,Southern Europe,Madrid,40.36101,-3.62463,mediterranean,highway,2021-02-18,winter,21828.0,8.76,7.05,6.72,7.19,6.98,1.71,0.7833974711379879,91396.77192982455,69568.77192982455,C,A,73.0,5.37,330.43,3.6153355640799636,low,0,0
TYR00019,Pirelli,PIR-Grip-270,195/65 R15,195,65,15,winter,premium,fleet,1793.0,fwd,front_left,Norway,Northern Europe,Oslo,59.81658,10.69851,cold,rural,2019-03-02,spring,56404.0,8.79,2.1,1.71,2.22,2.0,6.6899999999999995,1.1860860931848805,60619.54559043348,4215.545590433483,E,E,73.4,3.04,247.42,4.081521852236483,high,2,1
TYR00020,BudgetRoad,BUD-Drive-392,235/45 R18,235,45,18,summer,budget,ev,1430.0,fwd,front_right,Sweden,Northern Europe,Stockholm,59.3944,18.15408,cold,mountain,2019-01-09,winter,26756.0,8.04,4.89,4.76,4.77,4.66,3.1499999999999995,1.1773060248168632,54701.15555555555,27945.155555555557,E,B,73.0,3.88,202.31,3.6984593459735975,low,0,0
TYR00021,BudgetRoad,BUD-Eco-698,205/55 R16,205,55,16,summer,budget,suv,1897.0,fwd,front_left,Sweden,Northern Europe,Stockholm,59.43562,18.13714,cold,rural,2025-01-29,winter,23951.0,8.79,5.69,5.51,5.63,5.56,3.0999999999999988,1.2943092146465696,55550.86774193549,31599.867741935497,A,B,73.6,7.88,169.8,3.05665792276756,low,0,0
TYR00022,Goodyear,GOO-Eco-683,195/65 R15,195,65,15,all-season,premium,city,1321.0,fwd,front_left,Norway,Northern Europe,Oslo,59.80088,10.56739,cold,rural,2019-10-06,autumn,51920.0,7.22,1.55,1.2,1.42,1.42,5.67,1.0920647149460707,51920.0,0.0,C,A,73.7,5.74,258.8,4.984591679506934,critical,3,1
TYR00023,Michelin,MIC-Tour-505,255/40 R19,255,40,19,summer,premium,ev,2148.0,awd,rear_left,France,Western Europe,Lyon,45.83036,4.67626,temperate,mixed,2021-04-16,spring,36697.0,7.25,4.99,4.79,5.06,4.93,2.26,0.6158541570155598,91742.5,55045.50000000001,C,B,73.0,5.38,366.89,3.99912799411396,low,0,0
TYR00024,Bridgestone,BRI-Grip-618,235/45 R18,235,45,18,winter,mid-range,city,1064.0,fwd,rear_right,Italy,Southern Europe,Milan,45.34576,9.11895,mediterranean,rural,2025-04-25,spring,22393.0,8.39,6.38,6.34,6.37,6.16,2.0100000000000007,0.8976019291742958,75646.00497512435,53253.00497512435,E,A,72.6,3.12,274.31,3.6262324770515626,low,0,0
TYR00025,Goodyear,GOO-Sport-926,225/45 R17,225,45,17,summer,premium,family,1637.0,rwd,rear_left,Germany,Western Europe,Berlin,52.54629,13.43395,continental,highway,2023-11-30,autumn,14775.0,8.7,7.87,7.69,7.83,7.7,0.8299999999999992,0.5617597292724191,126388.55421686757,111613.55421686757,D,C,72.8,4.69,271.87,2.151065036581586,low,0,0
TYR00026,Michelin,MIC-Tour-719,255/40 R19,255,40,19,winter,premium,city,1378.0,fwd,rear_left,Poland,Eastern Europe,Warsaw,52.22763,21.03731,continental,urban,2020-03-14,spring,42663.0,8.06,4.98,4.6,4.98,4.95,3.08,0.7219370414645009,89481.48701298701,46818.48701298701,C,A,73.5,5.12,349.15,3.901924427667654,low,0,0
TYR00027,Hankook,HAN-Tour-145,205/55 R16,205,55,16,all-season,mid-range,suv,1405.0,awd,rear_right,France,Western Europe,Lyon,45.67264,4.83621,temperate,mixed,2019-07-28,summer,22298.0,7.58,6.2,5.98,6.18,6.17,1.38,0.6188895865100008,96624.66666666667,74326.66666666667,A,B,74.7,7.35,227.4,2.3534363206082642,low,0,0
TYR00028,Hankook,HAN-Grip-658,205/55 R16,205,55,16,all-season,mid-range,suv,2141.0,fwd,rear_right,Portugal,Southern Europe,Lisbon,38.75862,-9.16399,mediterranean,rural,2023-10-18,autumn,25121.0,8.56,6.69,6.42,6.74,6.58,1.87,0.7443971179491262,93498.48128342246,68377.48128342246,C,A,73.1,5.66,233.0,2.492019087387161,low,0,0
TYR00029,Hankook,HAN-Eco-466,255/40 R19,255,40,19,all-season,mid-range,family,1189.0,rwd,front_right,Portugal,Southern Europe,Lisbon,38.69851,-9.13134,mediterranean,urban,2022-06-16,summer,47224.0,8.22,6.04,5.29,6.23,5.97,2.1800000000000006,0.46162967982381853,143404.99082568806,96180.99082568804,B,E,71.2,6.71,246.84,1.7212790055545522,low,0,0
TYR00030,Pirelli,PIR-Drive-125,195/65 R15,195,65,15,winter,premium,fleet,1519.0,rwd,front_right,France,Western Europe,Lyon,45.88918,4.80676,temperate,highway,2020-10-27,autumn,38943.0,8.15,6.16,5.89,6.27,6.09,1.9900000000000002,0.5110032611765916,128179.22110552763,89236.22110552763,E,D,73.4,3.56,273.27,2.1319368119347657,low,0,0
TYR00031,Hankook,HAN-Grip-304,235/45 R18,235,45,18,all-season,mid-range,family,1424.0,rwd,front_right,Italy,Southern Europe,Milan,45.38352,9.24655,mediterranean,urban,2023-04-16,spring,19597.0,8.04,7.09,6.6,7.11,7.06,0.9499999999999993,0.48476807674644046,132847.03157894744,113250.03157894746,D,D,73.5,4.43,238.64,1.7963517676206608,low,0,0
TYR00032,Hankook,HAN-Tour-459,225/45 R17,225,45,17,summer,mid-range,family,1565.0,fwd,front_right,Norway,Northern Europe,Oslo,59.85266,10.82421,cold,mountain,2022-09-06,autumn,24747.0,8.2,5.26,4.92,5.21,5.11,2.9399999999999995,1.1880227906412897,55554.48979591837,30807.48979591837,B,A,73.6,6.65,230.99,4.157899763791386,low,0,0
TYR00033,Yokohama,YOK-Eco-710,255/40 R19,255,40,19,winter,mid-range,city,1309.0,fwd,rear_left,Poland,Eastern Europe,Warsaw,52.13719,20.9887,continental,highway,2025-07-06,summer,11499.0,7.67,6.93,6.68,7.03,6.73,0.7400000000000002,0.6435342203669887,94322.87837837834,82823.87837837834,E,B,70.0,3.66,245.01,2.597567040067807,low,0,0
TYR00034,Hankook,HAN-Drive-101,225/45 R17,225,45,17,winter,mid-range,fleet,1491.0,awd,front_left,Sweden,Northern Europe,Stockholm,59.39431,18.08793,cold,mountain,2025-06-19,summer,28929.0,8.87,5.58,5.09,5.55,5.32,3.289999999999999,1.1372671022157692,63925.17629179333,34996.17629179333,A,A,72.9,7.31,216.47,3.386302745758564,low,0,0
TYR00035,Pirelli,PIR-Tour-619,225/45 R17,225,45,17,winter,premium,city,1007.0,awd,rear_left,Poland,Eastern Europe,Warsaw,52.12709,21.06931,continental,rural,2022-07-09,summer,18585.0,8.6,6.9,6.59,6.82,6.87,1.6999999999999993,0.9147161689534568,76526.47058823533,57941.47058823532,C,A,72.3,5.7,265.16,3.464944847995694,low,0,0
TYR00036,Yokohama,YOK-Grip-730,225/45 R17,225,45,17,winter,mid-range,suv,2145.0,awd,front_right,Germany,Western Europe,Berlin,52.36505,13.38016,continental,highway,2023-09-19,autumn,29388.0,7.25,4.87,4.65,4.79,4.48,2.38,0.8098543623247584,69765.63025210085,40377.63025210084,C,B,72.7,6.65,246.13,3.5279549415750933,low,0,0
TYR00037,Bridgestone,BRI-Tour-576,235/45 R18,235,45,18,all-season,mid-range,city,1186.0,rwd,rear_left,Czechia,Eastern Europe,Prague,50.06157,14.57123,continental,highway,2023-10-27,autumn,11161.0,8.9,8.17,8.08,8.22,7.9,0.7300000000000004,0.6540632559806472,111609.99999999997,100448.99999999997,D,C,75.5,4.32,275.18,2.4655496819281435,low,0,0
TYR00038,BudgetRoad,BUD-Tour-195,205/55 R16,205,55,16,all-season,budget,ev,1771.0,awd,front_right,Norway,Northern Europe,Oslo,59.70872,10.81499,cold,urban,2022-03-08,spring,44418.0,8.83,4.5,4.28,4.5,4.23,4.33,0.9748300238641993,74166.77598152425,29748.775981524246,C,C,72.7,5.72,161.98,2.183996780989253,low,0,0
TYR00039,Bridgestone,BRI-Drive-524,205/55 R16,205,55,16,summer,mid-range,family,1379.0,fwd,front_left,France,Western Europe,Lyon,45.88387,4.79899,temperate,highway,2024-04-30,spring,69240.0,8.55,3.91,3.66,4.01,3.83,4.640000000000001,0.6701328711727327,103710.77586206896,34470.77586206896,C,C,74.1,5.28,243.44,2.3472970670257554,medium,1,0
TYR00040,Pirelli,PIR-Sport-575,235/45 R18,235,45,18,winter,premium,ev,2208.0,fwd,front_right,Czechia,Eastern Europe,Prague,49.99742,14.36495,continental,urban,2020-03-12,spring,16720.0,7.62,6.27,5.99,6.36,6.23,1.3500000000000005,0.807416267942584,74558.8148148148,57838.814814814796,D,A,74.6,4.47,304.25,4.080671088397527,low,0,0
TYR00041,Pirelli,PIR-Drive-950,195/65 R15,195,65,15,winter,premium,family,1462.0,rwd,rear_left,Portugal,Southern Europe,Lisbon,38.60257,-9.21313,mediterranean,mountain,2025-11-14,autumn,14823.0,8.06,7.09,6.72,7.07,6.93,0.9700000000000006,0.6543884503811649,98718.12371134014,83895.12371134014,D,D,70.5,5.01,254.65,2.5795668558755978,low,0,0
TYR00042,BudgetRoad,BUD-Grip-381,205/55 R16,205,55,16,all-season,budget,ev,1706.0,rwd,rear_left,Poland,Eastern Europe,Warsaw,52.32472,20.93055,continental,highway,2022-02-09,winter,31925.0,7.28,4.27,4.22,4.33,4.14,3.0100000000000007,0.9428347689898201,60243.853820598,28318.853820597997,D,B,74.6,3.49,161.93,2.687909051804957,low,0,0
TYR00043,Continental,CON-Grip-823,225/45 R17,225,45,17,summer,premium,suv,2035.0,rwd,rear_left,Norway,Northern Europe,Oslo,59.9493,10.85217,cold,rural,2019-11-27,autumn,21409.0,7.63,5.33,5.02,5.48,5.15,2.3,1.0743145406137604,56128.813043478265,34719.813043478265,A,A,74.1,7.88,286.31,5.100945209338736,low,0,0
TYR00044,Continental,CON-Sport-812,235/45 R18,235,45,18,winter,premium,suv,1974.0,awd,rear_right,France,Western Europe,Lyon,45.79576,4.84053,temperate,mountain,2019-09-13,autumn,26906.0,8.43,5.71,5.33,5.73,5.49,2.7199999999999998,1.0109269307961049,67561.75735294117,40655.75735294117,A,B,72.0,7.59,310.13,4.590318726907702,low,0,0
TYR00045,Yokohama,YOK-Sport-325,235/45 R18,235,45,18,summer,mid-range,suv,1823.0,rwd,rear_right,Portugal,Southern Europe,Lisbon,38.71249,-9.05964,mediterranean,mountain,2025-01-13,winter,25978.0,8.7,6.37,6.12,6.31,6.17,2.329999999999999,0.8969127723458308,79160.42918454937,53182.429184549364,D,C,71.3,4.68,242.56,3.06415721211556,low,0,0
TYR00046,Pirelli,PIR-Grip-737,225/45 R17,225,45,17,winter,premium,ev,1777.0,fwd,rear_right,Norway,Northern Europe,Oslo,59.87358,10.70195,cold,mixed,2023-07-15,summer,30445.0,8.43,5.03,4.79,5.01,5.0,3.3999999999999995,1.1167679421908356,61158.63235294119,30713.632352941186,C,D,73.6,5.24,302.22,4.941575512282787,low,0,0
TYR00047,Michelin,MIC-Eco-366,235/45 R18,235,45,18,all-season,premium,fleet,1434.0,awd,front_left,Poland,Eastern Europe,Warsaw,52.01587,21.04387,continental,urban,2023-10-22,autumn,20209.0,8.66,7.41,7.1,7.26,7.4,1.25,0.6185362957098323,114140.43200000002,93931.43200000002,A,B,74.6,7.45,320.87,2.8111861360398565,low,0,0
TYR00048,Hankook,HAN-Eco-867,205/55 R16,205,55,16,winter,mid-range,suv,1760.0,rwd,rear_right,Sweden,Northern Europe,Stockholm,59.3974,18.01202,cold,mixed,2023-09-23,autumn,21920.0,8.46,6.19,5.77,6.33,6.18,2.2700000000000005,1.0355839416058397,66242.81938325989,44322.8193832599,B,A,77.5,6.66,221.54,3.344362484305506,low,0,0
TYR00049,Michelin,MIC-Grip-344,225/45 R17,225,45,17,summer,premium,city,1336.0,awd,front_left,Poland,Eastern Europe,Warsaw,52.29618,20.90483,continental,urban,2021-10-09,autumn,29522.0,7.48,5.31,4.75,5.23,5.08,2.170000000000001,0.7350450511482964,79995.09677419353,50473.09677419353,A,A,72.2,7.54,306.74,3.8344850168236126,low,0,0
TYR00050,BudgetRoad,BUD-Eco-896,195/65 R15,195,65,15,all-season,budget,family,1401.0,rwd,rear_left,Italy,Southern Europe,Milan,45.37044,9.10253,mediterranean,mixed,2020-11-18,autumn,36127.0,8.04,6.14,6.07,6.13,6.13,1.8999999999999995,0.5259224402801228,122451.51578947368,86324.51578947368,C,E,72.0,5.93,162.59,1.327790831756913,low,0,0
TYR00051,Bridgestone,BRI-Grip-204,195/65 R15,195,65,15,all-season,mid-range,city,1255.0,rwd,rear_right,Italy,Southern Europe,Milan,45.4724,9.1782,mediterranean,mountain,2021-03-23,spring,16660.0,7.48,6.26,6.02,6.21,6.12,1.2200000000000006,0.7322929171668671,80295.737704918,63635.73770491801,A,C,74.0,6.81,243.28,3.029799674972031,low,0,0
TYR00052,Continental,CON-Drive-942,255/40 R19,255,40,19,summer,premium,suv,2273.0,awd,rear_right,Germany,Western Europe,Berlin,52.36954,13.37957,continental,mixed,2019-10-10,autumn,26728.0,7.51,5.06,4.91,5.14,4.88,2.45,0.9166417240347203,64474.48163265305,37746.48163265305,B,B,74.9,6.74,342.44,5.311248595236035,low,0,0
TYR00053,Continental,CON-Tour-730,235/45 R18,235,45,18,winter,premium,ev,1940.0,awd,front_right,Norway,Northern Europe,Oslo,59.90687,10.82742,cold,mountain,2020-12-22,winter,23744.0,7.94,5.72,5.51,5.81,5.45,2.2200000000000006,0.9349730458221027,67809.44144144142,44065.44144144142,C,E,71.9,5.77,337.3,4.974233570280683,low,0,0
TYR00054,BudgetRoad,BUD-Drive-683,235/45 R18,235,45,18,winter,budget,fleet,1878.0,rwd,rear_left,Poland,Eastern Europe,Warsaw,52.33934,20.97348,continental,highway,2019-12-21,winter,29671.0,7.52,6.06,5.82,5.92,5.98,1.46,0.4920629570961545,120309.80821917806,90638.80821917806,B,B,72.4,5.98,189.62,1.5760976000772438,low,0,0
TYR00055,Yokohama,YOK-Tour-710,225/45 R17,225,45,17,summer,mid-range,ev,2368.0,rwd,front_right,Czechia,Eastern Europe,Prague,50.12485,14.35782,continental,mountain,2021-05-18,spring,15111.0,7.2,5.77,5.71,5.84,5.76,1.4300000000000006,0.9463304877241748,59175.94405594404,44064.94405594404,B,B,73.9,6.45,241.41,4.079529340026661,low,0,0
TYR00056,Michelin,MIC-Drive-558,255/40 R19,255,40,19,summer,premium,city,1095.0,fwd,rear_right,Germany,Western Europe,Berlin,52.63834,13.54855,continental,mountain,2025-03-24,spring,32153.0,7.5,4.45,4.38,4.34,4.4,3.05,0.9485895561844928,62197.606557377054,30044.606557377054,D,C,74.5,4.28,332.6,5.3474726506264805,low,0,0
TYR00057,Continental,CON-Tour-535,225/45 R17,225,45,17,summer,premium,ev,2164.0,awd,front_right,Portugal,Southern Europe,Lisbon,38.75261,-9.23809,mediterranean,mixed,2025-07-10,summer,27524.0,8.3,6.99,6.82,6.99,6.94,1.3100000000000005,0.4759482633338179,140771.6030534351,113247.6030534351,B,B,74.2,6.33,329.0,2.337119084131732,low,0,0
TYR00058,Hankook,HAN-Eco-860,225/45 R17,225,45,17,all-season,mid-range,ev,1729.0,rwd,rear_left,Poland,Eastern Europe,Warsaw,52.23258,21.01183,continental,mixed,2021-08-02,summer,26499.0,7.44,4.71,4.45,4.75,4.61,2.7300000000000004,1.0302275557568212,56686.50549450549,30187.505494505487,A,A,70.5,7.34,224.94,3.9681401779441665,low,0,0
TYR00059,Goodyear,GOO-Tour-114,205/55 R16,205,55,16,summer,premium,ev,1860.0,rwd,rear_left,Poland,Eastern Europe,Warsaw,52.16096,20.96919,continental,urban,2021-03-06,spring,19712.0,8.24,6.7,6.37,6.63,6.55,1.54,0.78125,84992.0,65279.99999999999,B,B,72.2,6.55,295.98,3.482445406626506,low,0,0
TYR00060,Goodyear,GOO-Tour-580,225/45 R17,225,45,17,summer,premium,city,1285.0,awd,rear_left,Poland,Eastern Europe,Warsaw,52.32028,20.96065,continental,highway,2024-07-03,summer,27246.0,7.98,5.92,5.83,5.93,5.85,2.0600000000000005,0.7560742861337446,84383.24271844659,57137.242718446585,A,A,72.5,8.15,277.88,3.2930708876307984,low,0,0
TYR00061,BudgetRoad,BUD-Eco-255,225/45 R17,225,45,17,summer,budget,city,1213.0,rwd,rear_right,Norway,Northern Europe,Oslo,59.9018,10.78681,cold,urban,2019-09-25,autumn,23421.0,7.86,5.56,5.36,5.66,5.11,2.3000000000000007,0.9820246787071435,63745.85217391302,40324.85217391302,B,A,73.7,7.15,169.36,2.6568003128728725,low,0,0
TYR00062,Bridgestone,BRI-Sport-489,195/65 R15,195,65,15,summer,mid-range,city,1227.0,awd,rear_right,Italy,Southern Europe,Milan,45.56356,9.28041,mediterranean,rural,2025-09-07,autumn,35014.0,8.14,5.56,5.27,5.5,5.36,2.580000000000001,0.7368481178956992,88756.41860465115,53742.41860465114,D,A,74.7,4.72,256.49,2.889819170627949,low,0,0
TYR00063,BudgetRoad,BUD-Grip-370,225/45 R17,225,45,17,all-season,budget,ev,1717.0,rwd,front_left,Norway,Northern Europe,Oslo,59.885,10.78036,cold,rural,2020-02-11,winter,12193.0,7.91,6.21,5.77,6.12,6.17,1.7000000000000002,1.394242598212089,45257.547058823526,33064.547058823526,E,B,75.1,3.54,191.62,4.233989963064984,low,0,0
TYR00064,Goodyear,GOO-Tour-133,205/55 R16,205,55,16,summer,premium,fleet,1605.0,fwd,front_right,Spain,Southern Europe,Madrid,40.51988,-3.69886,mediterranean,urban,2023-08-01,summer,23572.0,8.6,7.32,7.09,7.25,7.28,1.2799999999999994,0.5430171389784487,128909.37500000006,105337.37500000006,B,C,72.9,7.12,257.17,1.9949673947298237,low,0,0
TYR00065,Bridgestone,BRI-Drive-217,225/45 R17,225,45,17,all-season,mid-range,ev,2393.0,fwd,front_right,France,Western Europe,Lyon,45.71908,4.89153,temperate,mixed,2025-08-12,summer,7880.0,8.48,7.7,7.57,7.78,7.53,0.7800000000000002,0.9898477157360409,69505.641025641,61625.641025641,C,E,73.6,5.93,285.09,4.101681472081219,low,0,0
TYR00066,Pirelli,PIR-Tour-549,205/55 R16,205,55,16,winter,premium,family,1500.0,fwd,front_left,Poland,Eastern Europe,Warsaw,52.07705,21.00285,continental,highway,2022-06-13,summer,13534.0,7.69,6.87,6.57,7.06,6.58,0.8200000000000003,0.6058814836707553,100514.70731707313,86980.70731707313,C,D,71.6,5.34,262.85,2.615040196762858,low,0,0
TYR00067,BudgetRoad,BUD-Tour-718,225/45 R17,225,45,17,all-season,budget,ev,1797.0,rwd,rear_right,Spain,Southern Europe,Madrid,40.40552,-3.58126,mediterranean,mountain,2019-11-26,autumn,30751.0,7.74,4.82,4.66,4.81,4.6,2.92,0.9495626158498911,64661.349315068495,33910.349315068495,C,D,74.5,5.66,186.61,2.8859589534812407,low,0,0
TYR00068,Michelin,MIC-Drive-631,195/65 R15,195,65,15,summer,premium,fleet,2022.0,awd,front_left,Germany,Western Europe,Berlin,52.44964,13.58753,continental,mixed,2025-06-18,summer,13200.0,7.56,6.82,6.49,6.85,6.8,0.7399999999999993,0.5606060606060601,106313.51351351361,93113.51351351361,A,C,72.2,7.2,270.84,2.5475594874923706,low,0,0
TYR00069,Bridgestone,BRI-Eco-978,205/55 R16,205,55,16,all-season,mid-range,ev,1935.0,awd,rear_right,Norway,Northern Europe,Oslo,59.95582,10.8105,cold,urban,2024-04-09,spring,4708.0,7.4,7.13,6.73,7.13,6.93,0.27000000000000046,0.5734919286321165,101134.81481481464,96426.81481481464,B,B,72.0,6.85,274.4,2.713210089942289,low,0,0
TYR00070,Hankook,HAN-Tour-218,235/45 R18,235,45,18,all-season,mid-range,ev,1848.0,rwd,rear_right,Italy,Southern Europe,Milan,45.3841,9.32469,mediterranean,rural,2019-05-31,spring,13558.0,8.85,7.81,7.62,7.81,7.71,1.04,0.7670747897920047,94514.90384615384,80956.90384615384,B,B,75.1,7.2,267.5,2.8302414657842934,low,0,0
TYR00071,Michelin,MIC-Drive-878,255/40 R19,255,40,19,winter,premium,ev,1881.0,fwd,front_right,Sweden,Northern Europe,Stockholm,59.29072,18.14855,cold,rural,2023-01-21,winter,23722.0,7.97,5.42,5.13,5.36,5.32,2.55,1.0749515217941152,59258.4862745098,35536.4862745098,C,B,75.5,5.48,369.93,6.242650179863376,low,0,0
