observation_id,observed_at,year,month,country,europe_region,brand,model,dimension,tyre_season,weather_season,vehicle_type,monthly_km,cumulative_km,tyre_age_months,initial_tread_depth_mm,tread_depth_mm,wear_rate_mm_per_1000km,projected_life_km,price_eur,cost_per_km,wet_grip_score,energy_efficiency_score,noise_db,road_roughness,avg_temp_c,rain_index,season_match,high_wear_risk
OBS000051,2023-08-14,2023,8,Italy,Southern Europe,Pirelli,PIR-Eco-491,225/45 R17,all-season,summer,suv,1454.9,16919.1,14,7.86,4.98,0.191,32771.0,156.14,0.00476,2.66,2.85,72.3,0.497,23.1,0.315,0,0
OBS000052,2024-04-11,2024,4,Portugal,Southern Europe,Yokohama,YOK-Grip-328,235/45 R18,summer,mild,suv,1238.4,50785.4,36,7.6,1.2,0.2474,24248.0,138.54,0.00571,2.63,3.34,74.1,0.546,20.2,0.241,0,1
OBS000053,2021-03-02,2021,3,Portugal,Southern Europe,Bridgestone,BRI-Tour-756,235/45 R18,summer,mild,city,675.0,3103.8,4,8.93,8.42,0.187,39196.0,129.05,0.00329,2.89,3.97,72.2,0.486,26.2,0.288,0,0
OBS000054,2023-06-26,2023,6,Poland,Eastern Europe,Hankook,HAN-Tour-282,205/55 R16,all-season,summer,city,690.1,15807.4,21,7.69,5.46,0.1479,41196.0,98.4,0.00239,1.86,3.89,73.6,0.573,8.3,0.295,0,0
OBS000055,2021-12-23,2021,12,Czechia,Eastern Europe,Nokian,NOK-Drive-720,235/45 R18,summer,winter,suv,1071.6,46143.1,46,8.26,1.2,0.2514,26478.0,149.83,0.00566,3.23,3.23,72.7,0.771,11.4,0.527,0,1
OBS000056,2020-04-18,2020,4,Poland,Eastern Europe,Pirelli,PIR-Drive-101,205/55 R16,summer,mild,suv,1163.1,15459.4,13,8.77,5.32,0.2373,30236.0,77.73,0.00257,2.5,3.15,69.1,0.563,6.5,0.538,0,0
OBS000057,2025-01-14,2025,1,Poland,Eastern Europe,Pirelli,PIR-Eco-780,195/65 R15,all-season,winter,suv,974.2,51930.6,53,8.6,1.2,0.2605,26877.0,143.16,0.00533,2.98,3.3,74.2,0.58,3.3,0.493,0,1
OBS000058,2025-12-27,2025,12,Italy,Southern Europe,Continental,CON-Tour-782,255/40 R19,summer,winter,suv,1344.7,28922.2,25,7.63,2.13,0.1954,30886.0,170.49,0.00552,2.5,3.51,74.7,0.529,14.9,0.294,0,1
OBS000059,2022-08-29,2022,8,Sweden,Northern Europe,Bridgestone,BRI-Grip-530,225/45 R17,summer,summer,ev,460.5,24053.8,49,8.76,3.46,0.2245,31885.0,147.11,0.00461,3.2,3.4,73.7,0.673,9.5,0.363,1,1
OBS000060,2020-12-13,2020,12,Sweden,Northern Europe,Bridgestone,BRI-Eco-411,255/40 R19,winter,winter,fleet,1411.7,32585.1,26,8.46,2.31,0.1821,37695.0,148.17,0.00393,3.07,3.88,75.9,0.52,-6.2,0.62,1,1
OBS000061,2021-05-10,2021,5,Netherlands,Western Europe,Hankook,HAN-Drive-791,195/65 R15,winter,mild,fleet,1551.4,83994.9,48,8.11,1.2,0.2257,28822.0,141.23,0.0049,3.07,3.67,73.7,0.516,4.7,0.906,0,1
OBS000062,2024-09-24,2024,9,Germany,Western Europe,Goodyear,GOO-Sport-779,235/45 R18,winter,mild,city,1837.4,73000.6,41,8.43,1.2,0.1833,37269.0,124.16,0.00333,3.38,4.16,75.5,0.671,12.3,0.366,0,1
OBS000063,2022-10-04,2022,10,Czechia,Eastern Europe,Pirelli,PIR-Grip-250,225/45 R17,summer,mild,suv,1449.5,10035.1,8,8.19,6.07,0.2105,31317.0,121.96,0.00389,3.43,3.8,72.9,0.493,11.3,0.487,0,0
OBS000064,2019-07-09,2019,7,Portugal,Southern Europe,Yokohama,YOK-Drive-524,205/55 R16,summer,summer,ev,1447.0,52645.7,32,8.01,1.2,0.2057,31155.0,131.39,0.00422,2.37,3.44,74.4,0.413,16.7,0.33,1,1
OBS000065,2021-03-07,2021,3,Czechia,Eastern Europe,Nokian,NOK-Grip-251,195/65 R15,all-season,mild,fleet,1763.1,72303.5,45,7.72,1.2,0.176,34772.0,155.98,0.00449,2.63,3.47,73.1,0.493,11.0,0.526,1,1
OBS000066,2020-03-12,2020,3,Portugal,Southern Europe,Pirelli,PIR-Drive-151,255/40 R19,all-season,mild,family,1271.2,66112.9,47,8.21,1.2,0.1448,45661.0,174.55,0.00382,2.63,3.46,75.2,0.46,14.2,0.457,1,1
OBS000067,2021-10-17,2021,10,Poland,Eastern Europe,Continental,CON-Drive-783,225/45 R17,all-season,mild,fleet,896.8,18471.3,19,8.11,6.06,0.1159,56172.0,147.35,0.00262,2.67,3.58,71.7,0.602,8.1,0.646,1,0
OBS000068,2025-04-08,2025,4,Poland,Eastern Europe,Yokohama,YOK-Drive-950,255/40 R19,winter,mild,ev,1001.2,21424.5,25,8.74,2.93,0.2891,24702.0,189.09,0.00765,2.75,3.43,78.0,0.747,7.0,0.729,0,1
OBS000069,2024-01-01,2024,1,Poland,Eastern Europe,Yokohama,YOK-Grip-960,235/45 R18,all-season,winter,fleet,1682.0,36616.2,21,7.94,1.2,0.1898,33386.0,140.68,0.00421,2.89,2.84,74.2,0.561,13.4,0.504,0,1
OBS000070,2024-11-05,2024,11,Netherlands,Western Europe,Pirelli,PIR-Eco-830,195/65 R15,winter,mild,suv,967.0,18202.5,22,8.07,,0.2239,28913.0,147.4,0.0051,,3.56,71.3,0.547,6.4,0.76,0,1
OBS000071,2021-08-18,2021,8,Netherlands,Western Europe,Hankook,HAN-Grip-254,205/55 R16,summer,summer,ev,1632.5,21187.8,13,7.22,2.01,0.248,22658.0,,0.00616,2.6,2.98,71.1,0.539,8.9,0.648,1,1
OBS000072,2023-04-18,2023,4,Germany,Western Europe,Pirelli,PIR-Drive-438,195/65 R15,all-season,mild,city,1462.7,47590.1,35,7.91,1.2,0.1395,45220.0,155.5,0.00344,2.93,4.01,71.5,0.42,1.6,0.48,1,1
OBS000073,2024-03-23,2024,3,Poland,Eastern Europe,Pirelli,PIR-Sport-812,195/65 R15,summer,mild,fleet,1013.7,38668.5,40,8.28,1.78,0.1797,37154.0,152.07,0.00409,2.33,3.58,71.3,0.608,7.9,0.691,0,1
OBS000074,2025-06-16,2025,6,Portugal,Southern Europe,Michelin,MIC-Drive-973,235/45 R18,summer,summer,suv,1056.8,16382.9,16,8.35,4.58,0.237,28487.0,162.12,0.00569,2.46,3.35,71.1,0.45,22.6,0.559,1,0
OBS000075,2025-01-13,2025,1,Sweden,Northern Europe,Pirelli,PIR-Tour-546,225/45 R17,all-season,winter,fleet,1396.5,1405.4,1,8.95,8.69,0.187,39292.0,128.83,0.00328,3.18,4.12,73.7,0.636,7.7,0.472,0,0
OBS000076,2019-04-29,2019,4,Norway,Northern Europe,Nokian,NOK-Grip-737,195/65 R15,summer,mild,family,1579.9,59374.6,42,8.06,1.2,0.2115,30548.0,173.3,0.00567,2.89,3.38,74.0,0.755,9.0,0.595,0,1
OBS000077,2019-04-21,2019,4,Poland,Eastern Europe,Michelin,MIC-Grip-987,195/65 R15,all-season,mild,city,220.0,1913.1,8,7.32,7.35,0.1419,40349.0,154.11,0.00382,3.86,3.67,73.7,0.636,11.2,0.361,1,0
OBS000078,2021-01-14,2021,1,Norway,Northern Europe,Nokian,NOK-Drive-434,225/45 R17,summer,winter,suv,1980.6,100440.7,44,7.65,1.2,0.2372,25505.0,137.72,0.0054,2.82,3.34,73.0,0.671,4.3,0.406,0,1
OBS000079,2023-04-02,2023,4,Italy,Southern Europe,Nokian,NOK-Drive-119,205/55 R16,summer,mild,suv,1437.0,12091.2,9,7.63,4.83,0.2405,25078.0,89.8,0.00358,2.9,3.69,73.7,0.618,13.9,0.27,0,0
OBS000080,2019-08-02,2019,8,Poland,Eastern Europe,Hankook,HAN-Eco-872,205/55 R16,all-season,summer,family,1596.5,76808.7,49,8.25,1.2,0.2147,30965.0,122.29,0.00395,2.72,3.59,74.4,0.576,6.2,0.604,0,1
OBS000081,2021-10-09,2021,10,Portugal,Southern Europe,Michelin,MIC-Grip-229,225/45 R17,summer,mild,ev,1397.3,52910.0,39,8.07,1.2,0.241,26865.0,159.11,0.00592,2.76,3.71,73.2,0.442,15.3,0.496,0,1
OBS000082,2020-04-13,2020,4,Norway,Northern Europe,Pirelli,PIR-Tour-271,235/45 R18,winter,mild,fleet,868.4,37923.5,49,7.87,1.2,0.1781,35222.0,134.62,0.00382,3.01,3.68,73.5,0.548,-0.9,0.447,0,1
OBS000083,2025-10-23,2025,10,Czechia,Eastern Europe,Continental,CON-Eco-692,235/45 R18,all-season,mild,family,1509.8,82584.2,51,7.94,1.2,0.1603,39520.0,145.69,0.00369,2.93,3.79,71.6,0.406,9.4,0.479,1,1
OBS000084,2022-07-01,2022,7,Portugal,Southern Europe,Nokian,NOK-Eco-706,225/45 R17,winter,summer,fleet,1349.5,40687.2,29,7.85,1.2,0.1887,33108.0,127.03,0.00384,2.56,3.25,72.0,0.564,21.0,0.305,0,1
OBS000085,2020-02-22,2020,2,Germany,Western Europe,Bridgestone,BRI-Sport-901,205/55 R16,all-season,winter,ev,1561.6,31117.6,17,7.54,1.2,0.2498,23780.0,132.3,0.00556,2.94,3.45,73.8,0.604,11.1,0.873,0,1
OBS000086,2022-11-23,2022,11,Portugal,Southern Europe,Hankook,HAN-Tour-112,255/40 R19,winter,mild,city,1290.1,52177.2,45,7.89,1.2,,38534.0,187.99,0.00488,2.73,3.51,71.2,0.591,14.1,0.413,0,1
OBS000087,2024-06-30,2024,6,Sweden,Northern Europe,Hankook,HAN-Drive-280,225/45 R17,summer,summer,fleet,1260.6,26905.7,24,8.2,2.73,0.2053,32157.0,119.23,0.00371,3.09,3.51,73.7,0.756,20.1,0.43,1,1
OBS000088,2022-01-11,2022,1,Poland,Eastern Europe,Yokohama,YOK-Sport-374,195/65 R15,winter,winter,fleet,1190.8,54291.1,53,7.41,1.2,0.1721,33734.0,154.64,0.00458,2.72,3.99,76.0,0.652,7.3,0.428,1,1
OBS000089,2021-10-02,2021,10,Italy,Southern Europe,Continental,CON-Grip-868,195/65 R15,all-season,mild,suv,1542.9,10093.8,7,8.61,6.77,0.1973,35521.0,141.42,0.00398,2.79,3.99,74.4,0.579,19.1,0.502,1,0
OBS000090,2025-05-23,2025,5,Norway,Northern Europe,Nokian,NOK-Drive-971,205/55 R16,winter,mild,suv,1930.1,111254.0,52,7.58,1.2,0.2674,22373.0,114.28,0.00511,2.46,3.53,73.2,0.661,5.0,0.579,0,1
OBS000091,2021-01-14,2021,1,Italy,Southern Europe,Hankook,HAN-Tour-710,235/45 R18,winter,winter,suv,1057.6,40501.8,46,7.98,1.2,0.1937,32927.0,133.78,0.00406,2.72,4.0,73.1,0.672,15.5,0.411,1,1
OBS000092,2025-03-26,2025,3,Netherlands,Western Europe,Pirelli,PIR-Drive-600,225/45 R17,summer,mild,city,1852.5,71011.0,42,8.12,1.2,0.1489,43777.0,115.94,0.00265,2.8,3.86,73.7,0.533,10.0,0.866,0,1
OBS000093,2021-09-11,2021,9,Poland,Eastern Europe,Yokohama,YOK-Eco-401,205/55 R16,all-season,mild,fleet,1200.1,12057.7,9,8.18,5.96,0.1867,35250.0,104.32,0.00296,3.46,2.67,71.0,0.677,10.1,0.433,1,0
OBS000094,2023-07-15,2023,7,Germany,Western Europe,Bridgestone,BRI-Drive-666,235/45 R18,all-season,summer,ev,887.0,9368.8,10,7.99,5.61,0.2961,21564.0,157.0,0.00728,2.69,2.9,69.6,0.499,5.4,0.477,0,0
OBS000095,2022-11-09,2022,11,Poland,Eastern Europe,Hankook,HAN-Tour-413,195/65 R15,winter,mild,suv,1304.4,22808.5,16,7.38,,0.2504,23085.0,164.31,0.00712,,3.61,73.0,0.539,9.5,0.544,0,1
OBS000096,2021-08-02,2021,8,Netherlands,Western Europe,Pirelli,PIR-Sport-880,205/55 R16,summer,summer,suv,813.2,21360.2,23,8.26,2.77,0.2547,26162.0,116.75,0.00446,3.68,4.08,71.0,0.589,9.3,0.844,1,1
OBS000097,2021-02-23,2021,2,France,Western Europe,Yokohama,YOK-Sport-711,255/40 R19,summer,winter,suv,988.7,1692.0,2,7.5,6.97,0.2309,25573.0,159.04,0.00622,2.45,4.23,73.5,0.521,15.7,0.538,0,0
OBS000098,2020-02-16,2020,2,Netherlands,Western Europe,Bridgestone,BRI-Grip-409,235/45 R18,all-season,winter,family,1695.8,18191.7,12,8.02,5.0,0.1385,46321.0,124.81,0.00269,3.29,3.64,75.0,0.483,-3.8,0.495,0,0
OBS000099,2024-12-27,2024,12,Portugal,Southern Europe,Michelin,MIC-Tour-814,255/40 R19,summer,winter,city,1510.3,10099.6,8,8.34,6.39,0.1807,37277.0,161.8,0.00434,2.46,3.61,73.4,0.558,14.5,0.487,0,0
OBS000100,2024-07-03,2024,7,France,Western Europe,Michelin,MIC-Drive-590,235/45 R18,summer,summer,ev,1040.9,47781.4,53,8.36,1.2,0.2295,29437.0,159.5,0.00542,3.45,3.5,72.3,0.609,21.6,0.703,1,1
OBS000101,2022-10-27,2022,10,Norway,Northern Europe,Michelin,MIC-Eco-941,195/65 R15,summer,mild,suv,645.0,23608.8,39,8.54,2.68,0.2423,28626.0,170.47,0.00596,2.81,4.06,72.6,0.801,0.4,0.606,0,1
OBS000102,2023-06-30,2023,6,Spain,Southern Europe,Michelin,MIC-Sport-411,225/45 R17,winter,summer,family,1739.7,35075.9,21,8.46,3.68,0.1405,48821.0,136.85,0.0028,3.1,4.21,75.0,0.444,18.2,0.336,0,1
OBS000103,2021-10-13,2021,10,Spain,Southern Europe,Nokian,NOK-Sport-331,255/40 R19,summer,mild,ev,1203.8,7428.0,6,8.11,6.51,0.2509,25946.0,167.48,0.00645,2.15,3.69,72.7,0.432,26.9,0.394,0,0
OBS000104,2023-04-08,2023,4,Poland,Eastern Europe,Yokohama,YOK-Drive-412,255/40 R19,winter,mild,suv,1447.7,66613.0,49,8.09,1.2,0.2544,25506.0,140.62,0.00551,2.8,3.67,70.9,0.76,13.0,0.52,0,1
OBS000105,2025-12-18,2025,12,Czechia,Eastern Europe,Continental,CON-Tour-776,225/45 R17,summer,winter,family,1092.0,51939.0,46,8.12,1.2,0.1588,41078.0,114.1,0.00278,3.31,2.65,71.9,0.413,12.4,0.57,0,1
OBS000106,2020-10-05,2020,10,Spain,Southern Europe,Continental,CON-Drive-561,205/55 R16,summer,mild,family,889.8,9842.2,10,7.8,6.2,0.171,36238.0,91.74,0.00253,3.28,3.33,71.8,0.512,21.4,0.57,0,0
OBS000107,2024-04-08,2024,4,Czechia,Eastern Europe,Pirelli,PIR-Drive-172,235/45 R18,summer,mild,suv,1341.3,47008.3,42,8.54,1.2,0.2559,27099.0,125.03,0.00461,3.09,3.48,73.8,0.603,0.9,0.465,0,1
